Team,Project,Category,Code,Public Homepage,Description,License
Gamelan,Docker container for Java JDK and Flask-Sockets,Probablistic Programming/ Inference Engine,Not Ready for Release,,Cloud Infrastructure for visualization,TBD
Indiana University,Sample visualizer,Probablistic Programming/ Inference Engine,Not Ready for Release,,"An HTTP server that communicates with any Web browser and any sampler to plot inference progress using histograms, correlation matrices, and other pluggable widgets",BSD
Indiana University,MCMC library,Probablistic Programming/ Inference Engine,Not Ready for Release,,A library of combinators in Haskell for building Markov Chain Monte Carlo samplers from reusable proposal distributions and transition kernels,BSD
Indiana University,Density calculator,Probablistic Programming/ Inference Engine,Not Ready for Release,,"A program that computes the probability density of a probabilistic program, combining the accuracy of Bhat et al.'s exact algorithm and the generality of Pfeffer's approximate algorithm",BSD
Indiana University,Tagless interpreters,Probablistic Programming/ Inference Engine,Not Ready for Release,,"Interpreters of the lambda calculus with a measure monad and conditioning, by importance sampling and by Markov Chain Monte Carlo, without expression dispatch overhead",BSD
MIT,Venture,Probablistic Programming/ Inference Engine,http://probcomp.csail.mit.edu/venture/venture-0.1.1.tgz,,"A general-purpose, higher-order probabilistic programming platform with programmable inference",GPLv3
MIT,BayesDB,Probablistic Programming/ Inference Engine,https://github.com/mit-probabilistic-computing-project/BayesDB.git,https://github.com/mit-probabilistic-computing-project/bayesdb,A Bayesian database for querying the probable implications of data tables,ALv2
SRI,aic-expresso,Machine Learning,https://code.google.com/p/aic-expresso/source/checkout,https://code.google.com/p/aic-expresso/,Symbolic evaluation library,BSDv3
SRI,aic-util,Machine Learning,https://code.google.com/p/aic-util/source/checkout,https://code.google.com/p/aic-util/,Miscellaneous Java library,BSDv3
SRI,aic-praise,Machine Learning,https://code.google.com/p/aic-praise/source/checkout,https://code.google.com/p/aic-praise/,Probabilistic Reasoning as Symbolic Evaluation,BSDv3
SRI,Alchemy 2.0,Machine Learning,https://code.google.com/p/alchemy-2/source/checkout,https://code.google.com/p/alchemy-2/,Learning and Inference engine for Markov Logic Networks,MIT
Stanford University,Optimal Experiment Design,Inference Engine,Not Ready for Release,https://github.com/lydaniel/oed_py,Optimal experiment design for probabilistic models,TBD
Stanford University,Forest,Inference Engine,,http://forestdb.org/,Collaborative repository for generative models,TBD
Stanford University,STOKE,Inference Engine,Not Ready for Release,,Stochastic Optimizer for x86_64 binaries,ALv2
Stanford University,shred,Inference Engine,Not Ready for Release,,"tracing MH, Church->SMT, FAUST, etc. (on top of Vicare Scheme)",TBD
Stanford University,shred-js,Inference Engine,Not Ready for Release (but in public github repo),,Javascript tracing primitives (built on top of webchurch),TBD
University of CA Riverside,CTBN-RLE,Machine Learning,,http://mloss.org/software/,Continuous-time reasoning and learning library,GPLv3
